Subbasin ID,Subbasin Area (m²),MUKEY ID,MUKEY,Hydrologic Soil Group,Dominant MUKEY Area (m²),Dominant MUKEY Area (acres),Percent of Subbasin
1,15849000.0,286226,286226,B,3953200.0,976.86,24.94
2,7969200.0,286284,286284,D,1002600.0,247.75,12.58
3,6877000.0,286208,286208,B,1288800.0,318.47,18.74
4,2895300.0,286240,286240,A,590400.0,145.89,20.39
5,10933600.0,286226,286226,B,1740600.0,430.11,15.92
6,4526600.0,286226,286226,B,1481300.0,366.04,32.72
7,4379100.0,286240,286240,A,410500.0,101.44,9.37
8,8265400.0,286240,286240,A,1168100.0,288.64,14.13
9,3063600.0,286254,286254,B,526300.0,130.05,17.18
10,1050500.0,286233,286233,B,286600.0,70.82,27.28
11,11137600.0,286226,286226,B,2127800.0,525.79,19.1
12,5185600.0,2519931,2519931,D,777600.0,192.15,15.0
13,12292800.0,286233,286233,B,1274400.0,314.91,10.37
