Subbasin ID,HRU ID,Cell Count,HRU Area (m²),HRU Area (acres),SWAT ID,MUKEY ID,Slope Class
1,1,1886,188600,46.6,43,286240,2
1,2,1304,130400,32.22,43,286240,1
1,3,41,4100,1.01,43,286233,1
1,4,110,11000,2.72,43,286228,2
1,6,2110,211000,52.14,43,286228,4
1,11,133,13300,3.29,43,286250,3
1,12,65,6500,1.61,43,286233,2
1,14,3825,382500,94.52,43,286226,1
1,15,142,14200,3.51,43,286250,4
1,16,157,15700,3.88,43,286250,2
1,17,83,8300,2.05,43,286250,1
1,18,7924,792400,195.81,43,286226,2
1,19,255,25500,6.3,43,286228,3
1,20,8159,815900,201.61,43,286226,3
1,21,1914,191400,47.3,43,286240,3
1,24,8502,850200,210.09,43,286226,4
1,25,2736,273600,67.61,43,286227,3
1,26,2973,297300,73.46,43,286240,4
1,28,6153,615300,152.04,43,286227,4
1,32,302,30200,7.46,33,286226,3
1,33,249,24900,6.15,33,286226,2
1,36,409,40900,10.11,33,286226,4
1,37,128,12800,3.16,43,286262,1
1,38,49,4900,1.21,53,286309,1
1,39,1648,164800,40.72,43,286227,2
1,45,126,12600,3.11,33,286226,1
1,47,4660,466000,115.15,43,286284,1
1,48,2793,279300,69.02,43,286284,2
1,49,43,4300,1.06,91,286262,1
1,52,2163,216300,53.45,43,286284,3
1,53,528,52800,13.05,43,286227,1
1,54,162,16200,4.0,91,286284,1
1,58,2366,236600,58.47,43,286284,4
1,60,940,94000,23.23,43,286296,3
1,61,611,61100,15.1,43,286296,1
1,62,862,86200,21.3,43,286296,2
1,63,80,8000,1.98,43,286244,1
1,64,1255,125500,31.01,43,286296,4
1,65,59,5900,1.46,19,286264,1
1,70,1304,130400,32.22,43,286254,4
1,71,221,22100,5.46,43,286264,1
1,72,141,14100,3.48,33,286227,4
1,73,45,4500,1.11,25,286254,2
1,74,45,4500,1.11,19,286254,3
1,75,69,6900,1.71,43,286264,3
1,76,81,8100,2.0,43,286244,3
1,77,54,5400,1.33,25,286254,1
1,78,1596,159600,39.44,43,286254,3
1,79,1912,191200,47.25,43,286254,2
1,80,111,11100,2.74,33,286227,3
1,81,80,8000,1.98,25,286301,1
1,82,171,17100,4.23,20,286254,2
1,83,142,14200,3.51,20,286254,3
1,84,1038,103800,25.65,43,286254,1
1,85,80,8000,1.98,43,286255,1
1,86,100,10000,2.47,43,286244,2
1,87,394,39400,9.74,43,286255,2
1,89,103,10300,2.55,20,286254,1
1,90,97,9700,2.4,20,286254,4
1,91,1416,141600,34.99,41,286226,4
1,98,1658,165800,40.97,41,286226,3
1,102,165,16500,4.08,43,286264,2
1,103,413,41300,10.21,41,286254,4
1,104,4266,426600,105.41,41,286227,4
1,107,83,8300,2.05,53,286254,2
1,108,637,63700,15.74,41,286254,2
1,113,135,13500,3.34,53,286254,3
1,114,134,13400,3.31,21,286254,1
1,117,602,60200,14.88,41,286254,3
1,121,49,4900,1.21,53,286226,2
1,122,1115,111500,27.55,41,286226,2
1,123,94,9400,2.32,33,286227,2
1,124,52,5200,1.28,33,286255,2
1,125,60,6000,1.48,33,286255,3
1,126,788,78800,19.47,41,286255,4
1,127,468,46800,11.56,41,286255,3
1,128,266,26600,6.57,41,286255,2
1,129,2142,214200,52.93,41,286227,3
1,130,51,5100,1.26,53,286226,1
1,131,623,62300,15.39,20,286226,2
1,132,552,55200,13.64,20,286226,3
1,133,43,4300,1.06,33,286227,1
1,134,70,7000,1.73,33,286255,4
1,135,239,23900,5.91,41,286254,1
1,136,600,60000,14.83,20,286226,1
1,137,381,38100,9.41,41,286226,1
1,138,174,17400,4.3,21,286254,2
1,140,326,32600,8.06,41,286307,2
1,141,908,90800,22.44,41,286227,2
1,142,229,22900,5.66,41,286227,1
1,143,58,5800,1.43,41,286255,1
1,145,191,19100,4.72,41,286307,3
1,148,47,4700,1.16,71,286254,2
1,153,55,5500,1.36,19,286227,3
1,157,130,13000,3.21,21,286254,3
1,159,42,4200,1.04,21,286254,4
1,160,155,15500,3.83,41,286307,1
1,171,2145,214500,53.0,41,286284,2
1,172,1489,148900,36.79,41,286284,3
1,174,1678,167800,41.46,41,286284,1
1,177,78,7800,1.93,43,286220,4
1,178,486,48600,12.01,21,286226,2
1,179,389,38900,9.61,21,286226,3
1,184,58,5800,1.43,41,286307,4
1,185,376,37600,9.29,21,286226,1
