Subbasin ID,HRU ID,Cell Count,HRU Area (m²),HRU Area (acres),SWAT ID,MUKEY ID,Slope Class
1,1,1863,186300,46.04,43,286240,2
1,2,1314,131400,32.47,43,286240,1
1,3,43,4300,1.06,43,286233,1
1,4,98,9800,2.42,43,286228,2
1,5,28,2800,0.69,43,286228,1
1,6,1701,170100,42.03,43,286228,4
1,7,3,300,0.07,43,286238,1
1,8,15,1500,0.37,43,286238,2
1,9,30,3000,0.74,43,286238,3
1,10,28,2800,0.69,43,286238,4
1,11,139,13900,3.43,43,286250,3
1,12,62,6200,1.53,43,286233,2
1,13,22,2200,0.54,43,286233,3
1,14,3409,340900,84.24,43,286226,1
1,15,142,14200,3.51,43,286250,4
1,16,151,15100,3.73,43,286250,2
1,17,7403,740300,182.93,43,286226,2
1,18,83,8300,2.05,43,286250,1
1,19,178,17800,4.4,43,286228,3
1,20,1921,192100,47.47,43,286240,3
1,21,18,1800,0.44,43,286309,3
1,22,3,300,0.07,43,286233,4
1,23,7815,781500,193.11,43,286226,4
1,24,7652,765200,189.08,43,286226,3
1,25,1574,157400,38.89,43,286227,2
1,26,2974,297400,73.49,43,286240,4
1,27,2620,262000,64.74,43,286227,3
1,28,33,3300,0.82,43,286309,2
1,29,5351,535100,132.23,43,286227,4
1,30,17,1700,0.42,43,286309,1
1,31,13,1300,0.32,43,286309,4
1,32,206,20600,5.09,33,286226,3
1,33,20,2000,0.49,43,286262,2
1,34,128,12800,3.16,43,286262,1
1,35,50,5000,1.24,53,286309,1
1,36,214,21400,5.29,33,286226,2
1,37,8,800,0.2,43,286262,3
1,38,2,200,0.05,53,286309,3
1,39,5,500,0.12,53,286309,2
1,40,1,100,0.02,53,286240,2
1,41,4551,455100,112.46,43,286284,1
1,42,2700,270000,66.72,43,286284,2
1,43,44,4400,1.09,91,286262,1
1,44,1,100,0.02,91,286240,1
1,45,8,800,0.2,91,286309,1
1,46,2055,205500,50.78,43,286284,3
1,47,517,51700,12.78,43,286227,1
1,48,165,16500,4.08,91,286284,1
1,49,7,700,0.17,91,286262,2
1,50,2,200,0.05,91,286309,2
1,51,2,200,0.05,53,286262,2
1,52,9,900,0.22,53,286262,1
1,53,173,17300,4.27,33,286226,4
1,54,106,10600,2.62,33,286226,1
1,55,2256,225600,55.75,43,286284,4
1,56,1,100,0.02,91,286284,2
1,57,883,88300,21.82,43,286296,3
1,58,439,43900,10.85,43,286296,1
1,59,735,73500,18.16,43,286296,2
1,60,78,7800,1.93,43,286244,1
1,61,1226,122600,30.3,43,286296,4
1,62,86,8600,2.13,33,286227,4
1,63,84,8400,2.08,43,286244,3
1,64,79,7900,1.95,33,286227,3
1,65,102,10200,2.52,43,286244,2
1,66,988,98800,24.41,43,286254,1
1,67,1876,187600,46.36,43,286254,2
1,68,129,12900,3.19,20,286254,3
1,69,96,9600,2.37,20,286254,4
1,70,100,10000,2.47,20,286254,1
1,71,150,15000,3.71,20,286254,2
1,72,1569,156900,38.77,43,286254,3
1,73,22,2200,0.54,25,286301,1
1,74,38,3800,0.94,25,286254,1
1,75,29,2900,0.72,25,286254,2
1,76,15,1500,0.37,25,286254,3
1,77,3,300,0.07,25,286254,4
1,78,7,700,0.17,25,286227,3
1,79,3,300,0.07,25,286227,1
1,80,72,7200,1.78,43,286264,3
1,81,1,100,0.02,25,286301,4
1,82,1302,130200,32.17,43,286254,4
1,83,6,600,0.15,25,286227,2
1,84,15,1500,0.37,25,286264,1
1,85,13,1300,0.32,25,286264,2
1,86,165,16500,4.08,43,286264,2
1,87,26,2600,0.64,43,286264,4
1,88,412,41200,10.18,41,286254,4
1,89,3765,376500,93.04,41,286227,4
1,90,209,20900,5.16,43,286264,1
1,91,1,100,0.02,25,286264,4
1,92,23,2300,0.57,53,286254,1
1,93,83,8300,2.05,53,286254,2
1,94,627,62700,15.49,41,286254,2
1,95,3,300,0.07,25,286227,4
1,96,1,100,0.02,25,286264,3
1,97,1,100,0.02,25,286255,1
1,98,130,13000,3.21,53,286254,3
1,99,4,400,0.1,25,286255,2
1,100,5,500,0.12,25,286255,3
1,101,609,60900,15.05,41,286254,3
1,102,1,100,0.02,53,286264,1
1,103,13,1300,0.32,53,286264,2
1,104,14,1400,0.35,53,286254,4
1,105,48,4800,1.19,53,286226,2
1,106,112,11200,2.77,21,286254,1
1,107,21,2100,0.52,33,286255,1
1,108,56,5600,1.38,33,286255,3
1,109,48,4800,1.19,33,286255,2
1,110,3,300,0.07,33,286228,4
1,111,503,50300,12.43,41,286255,4
1,112,239,23900,5.91,41,286255,3
1,113,105,10500,2.59,41,286255,2
1,114,1762,176200,43.54,41,286227,3
1,115,52,5200,1.28,53,286226,1
1,116,626,62600,15.47,20,286226,2
1,117,547,54700,13.52,20,286226,3
1,118,59,5900,1.46,33,286255,4
1,119,243,24300,6.0,41,286254,1
1,120,582,58200,14.38,20,286226,1
1,121,166,16600,4.1,21,286254,2
1,122,325,32500,8.03,41,286307,2
1,123,696,69600,17.2,41,286227,2
1,124,190,19000,4.69,41,286227,1
1,125,22,2200,0.54,41,286255,1
1,126,1,100,0.02,53,286264,3
1,127,194,19400,4.79,41,286307,3
1,128,8,800,0.2,53,286227,4
1,129,2,200,0.05,53,286227,2
1,130,9,900,0.22,71,286226,2
1,131,33,3300,0.82,71,286226,1
1,132,5,500,0.12,19,286227,1
1,133,24,2400,0.59,19,286227,2
1,134,46,4600,1.14,19,286227,3
1,135,10,1000,0.25,19,286227,4
1,136,3,300,0.07,71,286227,4
1,137,1,100,0.02,53,286227,3
1,138,46,4600,1.14,71,286254,2
1,139,6,600,0.15,71,286254,3
1,140,126,12600,3.11,21,286254,3
1,141,6,600,0.15,71,286227,3
1,142,40,4000,0.99,21,286254,4
1,143,153,15300,3.78,41,286307,1
1,144,12,1200,0.3,19,286307,1
1,145,4,400,0.1,71,286227,2
1,146,12,1200,0.3,71,286254,1
1,147,4,400,0.1,19,286307,2
1,148,2,200,0.05,71,286226,3
1,149,6,600,0.15,19,286307,3
1,150,1509,150900,37.29,41,286226,3
1,151,1033,103300,25.53,41,286226,2
1,152,14,1400,0.35,19,286255,3
1,153,24,2400,0.59,19,286254,2
1,154,46,4600,1.14,19,286254,3
1,155,2,200,0.05,71,286284,1
1,156,326,32600,8.06,41,286226,1
1,157,11,1100,0.27,19,286255,4
1,158,2140,214000,52.88,41,286284,2
1,159,1467,146700,36.25,41,286284,3
