Subbasin ID,Total_HRUs,Total_HRU_Area_Acres,Total_HRU_Cells,Filtered_HRUs,Filtered_HRU_Cells,Filtered_HRU_Area_Acres
1,929,3898.06,157749,358,150960,3730.32
2,535,1963.6,79464,228,75742,1871.68
3,537,1681.35,68042,220,64024,1582.13
4,272,715.44,28953,107,26810,662.49
5,783,2691.84,108935,308,102926,2543.27
6,404,1115.38,45138,150,41891,1035.13
7,556,1082.1,43791,195,39101,966.18
8,671,2027.87,82065,273,77098,1905.13
9,324,757.03,30636,116,27834,687.78
10,77,259.58,10505,38,10010,247.37
11,810,2736.37,110737,328,104751,2588.43
12,483,1273.06,51519,189,47791,1180.99
13,933,3008.63,121755,371,114747,2835.31
